Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.rt,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,29.478398802981246,None,2000,31.495297312969342,None,1,0.2611752779921517,31.495297312969342,None,1.65,1,33.55364204198122,None,1,1,0.234810448018834,33.55364204198122,None,You won $0.20!,0.2,2,1,0.35,100.0,0.234810448018834,[1],0,0,3,None,0.234810448018834,,,ad_60hz,Practice,2,2019_Aug_31_0942,MID,3.1.5,59.84521968067087,
LgReward,2000,0,1,1,1,,35.62055807298748,None,2000,37.64565980900079,None,None,,37.64565980900079,None,1.65,2,39.70376956596738,None,1,1,0.220775242021773,39.70376956596738,None,You won $5.00!,5.2,1,2,0.35,100.0,0.2277928450203035,"[1, 1]",0,0,3,None,0.220775242021773,,,ad_60hz,Practice,2,2019_Aug_31_0942,MID,3.1.5,59.84521968067087,
SmallPun,2000,0,2,2,2,,41.754568047006615,None,2000,43.7793480589753,None,None,,43.7793480589753,None,1.65,3,45.821497835975606,None,1,1,0.2310439869761467,45.821497835975606,None,You did not lose $0.20!,5.2,5,3,0.3,100.0,0.22887655900558457,[],100.0,3,3,None,0.2310439869761467,Adjusting RT...,,ad_60hz,Practice,2,2019_Aug_31_0942,MID,3.1.5,59.84521968067087,
LgPun,2000,0,3,3,3,,47.854697294998914,None,2000,49.880467073002364,None,None,,49.880467073002364,None,1.7,4,51.92127342999447,None,1,1,0.2432942179730162,51.92127342999447,None,You did not lose $5.00!,5.2,4,4,0.3,100.0,0.23248097374744248,[1],100.0,3,3,None,0.2432942179730162,,,ad_60hz,Practice,2,2019_Aug_31_0942,MID,3.1.5,59.84521968067087,
Triangle,2000,0,4,4,4,,53.95502602099441,None,2000,55.98815992899472,None,None,,55.98815992899472,None,1.7,5,58.021003572968766,None,1,1,0.2554050260223448,58.021003572968766,None,You did not win or lose anything!,5.2,3,4,0.3,100.0,0.23706578420242294,[1],100.0,3,3,None,0.2554050260223448,,,ad_60hz,Practice,2,2019_Aug_31_0942,MID,3.1.5,59.84521968067087,
LgReward,2000,0,5,5,5,,60.081419026013464,None,2000,62.11563509696862,None,None,,62.11563509696862,None,1.7,6,64.16521218698472,None,None,0,,64.16521218698472,None,You did not win $5.00!,5.2,1,5,0.3,83.33333333333334,0.23706578420242294,"[1, 0]",100.0,3,3,1,0.4140464710188098,,0.11404647101880983,ad_60hz,Practice,2,2019_Aug_31_0942,MID,3.1.5,59.84521968067087,
SmallPun,2000,0,6,6,6,,66.20502758998191,None,2000,68.23305530101061,None,None,,68.23305530101061,None,1.7,7,70.26824284298345,None,None,0,,70.26824284298345,None,You lost $0.20!,5.0,5,6,0.27999999999999997,71.42857142857143,0.23706578420242294,[],66.66666666666666,6,3,1,0.27615034100133923,Adjusting RT...,-0.0038496589986607432,ad_60hz,Practice,2,2019_Aug_31_0942,MID,3.1.5,59.84521968067087,
SmallReward,2000,0,7,7,7,,72.3337811609963,None,2000,74.36707685998408,None,None,,74.36707685998408,None,1.72,8,76.41791931499029,None,1,1,0.2427010370302014,76.41791931499029,None,You won $0.20!,5.2,2,7,0.27999999999999997,75.0,0.2380049930070527,[1],66.66666666666666,6,3,None,0.2427010370302014,,,ad_60hz,Practice,2,2019_Aug_31_0942,MID,3.1.5,59.84521968067087,
Triangle,2000,0,8,8,8,,78.47333198896376,None,2000,80.50121075997595,None,None,,80.50121075997595,None,1.72,9,82.53491383400979,None,None,0,,82.53491383400979,None,You did not win or lose anything!,5.2,3,7,0.27999999999999997,66.66666666666666,0.2380049930070527,[1],66.66666666666666,6,3,1,0.2829074510093778,,0.002907451009377837,ad_60hz,Practice,2,2019_Aug_31_0942,MID,3.1.5,59.84521968067087,
LgReward,2000,0,9,9,9,,84.60224686196307,None,2000,86.63545920100296,None,None,,86.63545920100296,None,1.72,10,88.68566477496643,None,None,0,,88.68566477496643,None,You did not win $5.00!,5.2,1,8,0.27999999999999997,60.0,0.2380049930070527,"[1, 0]",66.66666666666666,6,3,1,0.3067193529871292,,0.02671935298712924,ad_60hz,Practice,2,2019_Aug_31_0942,MID,3.1.5,59.84521968067087,
LgPun,2000,0,10,10,10,,90.74059403501451,None,2000,92.7692917669774,None,None,,92.7692917669774,None,1.72,11,94.80381166696316,None,1,1,0.23276957700727507,94.80381166696316,None,You did not lose $5.00!,5.2,4,9,0.3,63.63636363636363,0.23725707643565588,[],49.99999999999999,9,3,None,0.23276957700727507,Adjusting RT...,,ad_60hz,Practice,2,2019_Aug_31_0942,MID,3.1.5,59.84521968067087,
SmallPun,2000,0,11,11,11,,96.85743987496244,None,2000,98.88692672201432,None,None,,98.88692672201432,None,1.7,12,100.92189659498399,None,1,1,0.234538281976711,100.92189659498399,None,You did not lose $0.20!,5.2,5,10,0.3,66.66666666666666,0.23691722712828778,[1],49.99999999999999,9,3,None,0.234538281976711,,,ad_60hz,Practice,2,2019_Aug_31_0942,MID,3.1.5,59.84521968067087,
SmallReward,2000,0,12,12,12,,102.97075131797465,None,2000,105.00493776897201,None,None,,105.00493776897201,None,1.7,13,107.05436429998372,None,1,1,0.23805819201515988,107.05436429998372,None,You won $0.20!,5.4,2,11,0.3,69.23076923076923,0.2370440010046069,"[1, 1]",49.99999999999999,9,3,None,0.23805819201515988,,,ad_60hz,Practice,2,2019_Aug_31_0942,MID,3.1.5,59.84521968067087,
LgPun,2000,0,13,13,13,,109.09188182401704,None,2000,111.12165329500567,None,None,,111.12165329500567,None,1.7,14,113.1546061669942,None,None,0,,113.1546061669942,None,You lost $5.00!,0.40000000000000036,4,12,0.27999999999999997,64.28571428571429,0.2370440010046069,[],66.66666666666666,12,3,1,0.35534170104190704,Adjusting RT...,0.07534170104190707,ad_60hz,Practice,2,2019_Aug_31_0942,MID,3.1.5,59.84521968067087,
Triangle,2000,0,14,14,14,,115.19211924396222,None,2000,117.22237229900202,None,None,,117.22237229900202,None,1.72,15,119.25678704096936,None,None,0,,119.25678704096936,None,You did not win or lose anything!,0.40000000000000036,3,12,0.27999999999999997,60.0,0.2370440010046069,[],66.66666666666666,12,3,1,0.2682519919774495,,-0.011748008022550493,ad_60hz,Practice,2,2019_Aug_31_0942,MID,3.1.5,59.84521968067087,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad_60hz,Practice,2,2019_Aug_31_0942,MID,3.1.5,59.84521968067087,
