trial_type	arrow_1	arrow_2	corrAns	jitter	run_end_fixation	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	randomized TrialOrder	key_response.keys	key_response.corr	key_response.rt	trial_t.routineEndVal	ss_delay	iti_duration	SOA	participant	prac_or_scan	handedness	run	date	expName	psychopyVersion	frameRate	Unnamed: 26	onset	duration	amplitude
correct_stop	sst_images/Right_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	767	None	0	1	1	1		None	1		stop	0.1	0.767	1.767	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		1.8003	1	1
correct_stop	sst_images/Left_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	884	None	0	6	6	6		None	1		stop	0.15000000000000002	0.884	1.884	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		11.562599999999996	1	1
correct_stop	sst_images/Left_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	1278	None	0	9	9	9		None	1		stop	0.2	1.278	2.278	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		17.1458	1	1
correct_stop	sst_images/Right_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	1248	None	0	18	18	18		None	1		stop	0.25	1.248	2.248	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		36.5476	1	1
failed_stop	sst_images/Right_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	1022	None	0	28	28	28		2	0	0.4366744860017207	stop	0.2	1.022	2.1353255139982794	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		55.53229999999999	1	1
correct_stop	sst_images/Left_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	765	None	0	32	32	32		None	1		stop	0.25	0.765	1.765	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		63.11579999999999	1	1
failed_stop	sst_images/Right_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	847	None	0	35	35	35		2	0	0.4087421670010372	stop	0.2	0.847	1.9882578329989629	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		69.34309999999999	1	1
failed_stop	sst_images/Right_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	1008	None	0	37	37	37		2	0	0.45459676199971005	stop	0.15000000000000002	1.008	2.05340323800029	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		73.3667	1	1
correct_stop	sst_images/Left_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	714	None	0	42	42	42		None	1		stop	0.2	0.7140000000000001	1.7139999999999995	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		82.7783	1	1
correct_stop	sst_images/Right_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	767	None	0	46	46	46		None	1		stop	0.25	0.767	1.767	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		89.8456	1	1
failed_stop	sst_images/Left_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	1219	None	0	50	50	50		1	0	0.45737358300175396	stop	0.2	1.219	2.311626416998246	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		97.04639999999999	1	1
correct_stop	sst_images/Right_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	868	None	0	55	55	55		None	1		stop	0.25	0.868	1.868	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		108.1666	1	1
failed_stop	sst_images/Right_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	787	None	0	66	66	66		2	0	0.5040770800005703	stop	0.2	0.787	1.8329229199994297	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		130.1177	1	1
correct_stop	sst_images/Left_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	707	None	0	70	70	70		None	1		stop	0.25	0.7070000000000001	1.707	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		137.81849999999997	1	1
failed_stop	sst_images/Right_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	1871	None	0	75	75	75		2	0	0.4557024210007512	stop	0.2	1.871	2.9652975789992486	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		146.80329999999998	1	1
correct_stop	sst_images/Right_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	719	None	0	79	79	79		None	1		stop	0.25	0.7190000000000001	1.719	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		155.3374	1	1
correct_stop	sst_images/Left_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	737	None	0	84	84	84		None	1		stop	0.3	0.737	1.737	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		164.55540000000002	1	1
correct_stop	sst_images/Left_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	707	None	0	88	88	88		None	1		stop	0.35	0.7070000000000001	1.7069999999999999	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		171.95620000000002	1	1
failed_stop	sst_images/Right_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	893	None	0	99	99	99		2	0	0.5073715170001378	stop	0.3	0.893	2.035628482999862	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		196.10829999999999	1	1
failed_stop	sst_images/Left_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	740	None	0	104	104	104		1	0	0.5708664759986277	stop	0.25	0.74	1.7691335240013724	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		205.75869999999998	1	1
correct_stop	sst_images/Left_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	894	None	0	108	108	108		None	1		stop	0.3	0.894	1.8940000000000001	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		213.67540000000002	1	1
failed_stop	sst_images/Right_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	758	None	0	111	111	111		2	0	0.43862627699854784	stop	0.25	0.758	1.9193737230014525	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		219.659	1	1
failed_stop	sst_images/Left_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	813	None	0	115	115	115		1	0	0.5183151769997494	stop	0.2	0.813	1.8446848230002504	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		227.20959999999997	1	1
correct_stop	sst_images/Right_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	758	None	0	119	119	119		None	1		stop	0.25	0.758	1.758	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		234.74379999999996	1	1
correct_stop	sst_images/Right_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	798	None	0	134	134	134		None	1		stop	0.3	0.7979999999999999	1.798	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		262.7285	1	1
correct_stop	sst_images/Left_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	752	None	0	139	139	139		None	1		stop	0.35	0.752	1.7519999999999998	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		271.8194	1	1
failed_stop	sst_images/Left_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	742	None	0	156	156	156		1	0	0.6062177319981856	stop	0.3	0.742	1.7857822680018145	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		304.3813	1	1
failed_stop	sst_images/Left_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	745	None	0	161	161	161		1	0	0.4702942490002897	stop	0.25	0.745	1.8747057509997105	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		313.5999	1	1
correct_stop	sst_images/Right_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	783	None	0	171	171	171		None	1		stop	0.3	0.7829999999999999	1.783	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		333.9953	1	1
failed_stop	sst_images/Left_Arrow.bmp	sst_images/Stop_Arrow.bmp	none	798	None	0	178	178	178		1	0	0.5892170799997984	stop	0.25	0.7979999999999999	1.8087829200002017	1	Scanner	R	1	2019_Sep_06_1045	SST	3.0.7	60.03689807657106		347.08189999999996	1	1
